Date;Time;Temperature_C;Dew_Point_C;Humidity_%;Wind;Speed_kmh;Gust_kmh;Pressure_hPa;Precip_Rate_mm;Precip_Accum_mm;UV;Solar_w/m2
05/01/2020;12:04 AM;25.5;23.5;89.0;SSE;1.77;2.25;1013.55;0.0;0.0;0.0;0.0
05/01/2020;12:09 AM;25.44;23.44;89.0;South;3.54;4.18;1013.55;0.0;0.0;0.0;0.0
05/01/2020;12:14 AM;25.5;23.5;89.0;South;1.77;2.57;1013.55;0.0;0.0;0.0;0.0
05/01/2020;12:19 AM;25.5;23.5;89.0;South;0.97;1.29;1013.21;0.0;0.0;0.0;0.0
05/01/2020;12:24 AM;25.44;23.44;89.0;South;0.32;0.48;1013.55;0.0;0.0;0.0;0.0
05/01/2020;12:29 AM;25.22;23.22;89.0;South;2.09;2.9;1013.55;0.0;0.0;0.0;0.0
05/01/2020;12:34 AM;24.94;23.06;89.0;South;0.64;1.45;1013.55;0.0;0.0;0.0;0.0
05/01/2020;12:39 AM;24.89;23.0;89.0;South;0.97;1.77;1013.55;0.0;0.0;0.0;0.0
05/01/2020;12:44 AM;24.89;23.0;89.0;South;1.77;1.77;1013.55;0.0;0.0;0.0;0.0
05/01/2020;12:49 AM;24.78;22.83;89.0;South;1.29;1.77;1013.21;0.0;0.0;0.0;0.0
05/01/2020;12:54 AM;24.72;22.78;89.0;South;1.77;2.09;1013.21;0.0;0.0;0.0;0.0
05/01/2020;12:59 AM;24.67;22.78;89.0;South;2.41;2.9;1013.21;0.0;0.0;0.0;0.0
05/01/2020;01:04 AM;24.44;22.56;89.0;South;0.97;1.45;1013.21;0.0;0.0;0.0;0.0
05/01/2020;01:09 AM;24.44;22.56;89.0;SSW;1.77;1.93;1013.55;0.0;0.0;0.0;0.0
05/01/2020;01:14 AM;24.56;22.67;89.0;SSW;2.09;2.57;1013.55;0.0;0.0;0.0;0.0
05/01/2020;01:19 AM;24.33;22.44;89.0;SSW;2.9;3.22;1013.55;0.0;0.0;0.0;0.0
05/01/2020;01:24 AM;24.5;22.56;89.0;SW;3.38;4.02;1013.55;0.0;0.0;0.0;0.0
05/01/2020;01:29 AM;24.78;22.89;89.0;SSW;2.09;2.41;1013.55;0.0;0.0;0.0;0.0
05/01/2020;01:34 AM;24.83;22.94;89.0;South;3.86;4.99;1013.55;0.0;0.0;0.0;0.0
05/01/2020;01:39 AM;24.83;22.94;89.0;SSW;1.61;2.09;1013.55;0.0;0.0;0.0;0.0
05/01/2020;01:44 AM;24.78;22.89;89.0;SW;1.45;2.09;1013.55;0.0;0.0;0.0;0.0
05/01/2020;01:49 AM;24.83;22.94;89.0;SSW;2.57;3.06;1013.55;0.0;0.0;0.0;0.0
05/01/2020;01:54 AM;24.72;22.83;89.0;SSW;1.29;1.77;1013.55;0.0;0.0;0.0;0.0
05/01/2020;01:59 AM;24.72;22.78;89.0;SW;3.7;4.02;1013.55;0.0;0.0;0.0;0.0
05/01/2020;02:04 AM;24.72;22.78;89.0;SW;5.63;6.28;1013.55;0.0;0.0;0.0;0.0
05/01/2020;02:09 AM;24.56;22.67;89.0;SW;6.6;7.72;1013.88;0.0;0.0;0.0;0.0
05/01/2020;02:14 AM;24.5;22.61;89.0;SW;4.83;5.79;1013.88;0.0;0.0;0.0;0.0
05/01/2020;02:19 AM;24.5;22.61;89.0;SSW;2.41;2.9;1013.88;0.0;0.0;0.0;0.0
05/01/2020;02:24 AM;24.5;22.61;89.0;SSW;2.25;2.74;1013.88;0.0;0.0;0.0;0.0
05/01/2020;02:29 AM;24.56;22.67;89.0;SW;1.93;2.25;1013.55;0.0;0.0;0.0;0.0
05/01/2020;02:34 AM;24.5;22.61;89.0;SW;2.57;3.54;1013.88;0.0;0.0;0.0;0.0
05/01/2020;02:39 AM;24.39;22.5;89.0;SW;1.93;2.25;1013.55;0.0;0.0;0.0;0.0
05/01/2020;02:44 AM;24.28;22.39;89.0;SW;2.74;3.06;1013.88;0.0;0.0;0.0;0.0
05/01/2020;02:49 AM;24.22;22.33;89.0;SW;3.22;4.02;1013.55;0.0;0.0;0.0;0.0
05/01/2020;02:54 AM;24.17;22.22;89.0;SW;2.41;2.74;1013.55;0.0;0.0;0.0;0.0
05/01/2020;02:59 AM;24.11;22.22;89.0;SW;1.61;1.93;1013.88;0.0;0.0;0.0;0.0
05/01/2020;03:04 AM;24.11;22.22;89.0;SW;0.8;1.29;1013.55;0.0;0.0;0.0;0.0
05/01/2020;03:09 AM;24.06;22.17;89.0;SW;0.0;0.0;1013.55;0.0;0.0;0.0;0.0
05/01/2020;03:14 AM;24.0;22.11;89.0;SW;0.0;0.16;1013.88;0.0;0.0;0.0;0.0
05/01/2020;03:19 AM;24.0;22.11;89.0;SW;1.61;1.77;1013.88;0.0;0.0;0.0;0.0
