Date;Time;Temperature_C;Dew_Point_C;Humidity_%;Wind;Speed_kmh;Gust_kmh;Pressure_hPa;Precip_Rate_mm;Precip_Accum_mm;UV;Solar_w/m2
05/01/2020;12:04 AM;25.22;17.78;63.0;SSW;0.0;0.0;1020.66;0.0;0.0;0.0;0.0
05/01/2020;12:09 AM;25.17;17.94;64.0;SSW;0.32;0.48;1020.66;0.0;0.0;0.0;0.0
05/01/2020;12:14 AM;25.11;17.67;64.0;SSW;0.48;0.97;1020.32;0.0;0.0;0.0;0.0
05/01/2020;12:19 AM;25.5;17.61;62.0;SSW;0.97;1.29;1020.66;0.0;0.0;0.0;0.0
05/01/2020;12:24 AM;25.72;17.67;61.0;SSW;0.97;1.45;1020.66;0.0;0.0;0.0;0.0
05/01/2020;12:29 AM;25.67;17.56;61.0;SSW;0.32;0.97;1020.66;0.0;0.0;0.0;0.0
05/01/2020;12:34 AM;25.61;17.67;62.0;SSW;0.0;0.0;1020.32;0.0;0.0;0.0;0.0
05/01/2020;12:39 AM;25.33;17.61;62.0;SSW;0.0;0.0;1020.32;0.0;0.0;0.0;0.0
05/01/2020;12:44 AM;25.22;17.56;63.0;SSW;0.0;0.0;1020.32;0.0;0.0;0.0;0.0
05/01/2020;12:49 AM;24.94;17.78;64.0;SSW;0.0;0.0;1020.66;0.0;0.0;0.0;0.0
05/01/2020;12:54 AM;24.72;17.72;65.0;SSW;0.0;0.0;1020.32;0.0;0.0;0.0;0.0
05/01/2020;12:59 AM;24.67;17.67;65.0;SSW;0.0;0.0;1020.32;0.0;0.0;0.0;0.0
05/01/2020;01:04 AM;24.67;17.67;65.0;SSW;0.97;1.45;1020.32;0.0;0.0;0.0;0.0
05/01/2020;01:09 AM;24.61;17.61;65.0;SSW;1.61;1.77;1020.32;0.0;0.0;0.0;0.0
05/01/2020;01:14 AM;24.56;17.56;65.0;SSW;0.48;0.97;1020.66;0.0;0.0;0.0;0.0
05/01/2020;01:19 AM;24.39;17.39;65.0;SSW;0.48;1.29;1020.66;0.0;0.0;0.0;0.0
05/01/2020;01:24 AM;24.56;17.56;65.0;SSW;0.8;1.13;1020.66;0.0;0.0;0.0;0.0
05/01/2020;01:29 AM;24.67;17.44;64.0;SW;1.93;2.57;1020.66;0.0;0.0;0.0;0.0
05/01/2020;01:34 AM;24.83;17.44;63.0;SW;1.93;2.25;1020.66;0.0;0.0;0.0;0.0
05/01/2020;01:39 AM;25.11;17.56;63.0;SSW;0.64;0.97;1020.66;0.0;0.0;0.0;0.0
05/01/2020;01:40 AM;25.0;17.5;63.0;SE;1.13;1.77;1020.66;0.0;0.0;0.0;0.0
05/01/2020;01:49 AM;24.89;17.72;64.0;SW;0.97;2.25;1020.66;0.0;0.0;0.0;0.0
05/01/2020;01:54 AM;24.78;17.61;64.0;WNW;1.45;1.77;1020.66;0.0;0.0;0.0;0.0
05/01/2020;01:59 AM;24.72;17.67;65.0;WSW;2.09;2.74;1020.66;0.0;0.0;0.0;0.0
05/01/2020;02:04 AM;24.72;17.72;65.0;SW;2.25;3.06;1020.66;0.0;0.0;0.0;0.0
