Date       ;Time     ;Temperature_C ;Dew_Point_C ;Humidity_% ;Wind  ;Speed_kmh ;Gust_kmh ;Pressure_hPa ;Precip_Rate_mm ;Precip_Accum_mm ;UV   ;Solar_w/m2 
05/01/2020 ;12:04 AM ;24.39         ;18.33       ;69.0       ;SW    ;0.0       ;0.0      ;1013.88      ;0.0            ;0.0             ;0.0  ;0.0        
05/01/2020 ;12:09 AM ;24.44         ;18.33       ;69.0       ;SW    ;0.0       ;0.0      ;1014.22      ;0.0            ;0.0             ;0.0  ;0.0        
05/01/2020 ;12:14 AM ;24.22         ;18.33       ;69.0       ;WSW   ;0.0       ;0.0      ;1013.88      ;0.0            ;0.0             ;0.0  ;0.0        
05/01/2020 ;12:19 AM ;24.39         ;18.17       ;68.0       ;SW    ;0.0       ;0.0      ;1013.88      ;0.0            ;0.0             ;0.0  ;0.0        
05/01/2020 ;12:24 AM ;24.5          ;17.94       ;67.0       ;SW    ;0.0       ;0.0      ;1013.88      ;0.0            ;0.0             ;0.0  ;0.0        
05/01/2020 ;12:29 AM ;24.89         ;18.0        ;66.0       ;WSW   ;0.0       ;0.0      ;1013.88      ;0.0            ;0.0             ;0.0  ;0.0        
05/01/2020 ;12:34 AM ;24.83         ;18.11       ;66.0       ;WSW   ;0.0       ;0.0      ;1013.88      ;0.0            ;0.0             ;0.0  ;0.0        
05/01/2020 ;12:39 AM ;24.56         ;18.11       ;67.0       ;WNW   ;0.0       ;0.0      ;1013.88      ;0.0            ;0.0             ;0.0  ;0.0        
05/01/2020 ;12:44 AM ;24.28         ;17.94       ;68.0       ;WSW   ;0.0       ;0.0      ;1013.88      ;0.0            ;0.0             ;0.0  ;0.0        
05/01/2020 ;12:49 AM ;24.06         ;18.0        ;69.0       ;WSW   ;0.0       ;0.0      ;1013.88      ;0.0            ;0.0             ;0.0  ;0.0        
05/01/2020 ;12:54 AM ;23.83         ;18.0        ;70.0       ;WSW   ;0.0       ;0.0      ;1013.88      ;0.0            ;0.0             ;0.0  ;0.0        
05/01/2020 ;12:59 AM ;23.78         ;17.89       ;69.0       ;West  ;0.0       ;0.0      ;1013.88      ;0.0            ;0.0             ;0.0  ;0.0        
05/01/2020 ;01:04 AM ;23.94         ;17.83       ;69.0       ;West  ;0.0       ;0.0      ;1013.88      ;0.0            ;0.0             ;0.0  ;0.0        
05/01/2020 ;01:09 AM ;24.11         ;17.78       ;68.0       ;West  ;0.0       ;0.0      ;1013.88      ;0.0            ;0.0             ;0.0  ;0.0        
05/01/2020 ;01:14 AM ;24.06         ;18.0        ;69.0       ;WSW   ;0.0       ;0.0      ;1013.88      ;0.0            ;0.0             ;0.0  ;0.0        
05/01/2020 ;01:19 AM ;24.11         ;17.78       ;68.0       ;WSW   ;0.0       ;0.0      ;1013.88      ;0.0            ;0.0             ;0.0  ;0.0        
05/01/2020 ;01:24 AM ;24.17         ;17.83       ;68.0       ;West  ;0.0       ;0.0      ;1013.88      ;0.0            ;0.0             ;0.0  ;0.0        
05/01/2020 ;01:29 AM ;24.22         ;17.94       ;68.0       ;WSW   ;0.0       ;0.0      ;1013.88      ;0.0            ;0.0             ;0.0  ;0.0        
05/01/2020 ;01:34 AM ;24.33         ;17.94       ;68.0       ;WNW   ;0.0       ;0.0      ;1013.88      ;0.0            ;0.0             ;0.0  ;0.0        
05/01/2020 ;01:39 AM ;24.39         ;17.94       ;67.0       ;WSW   ;0.0       ;0.0      ;1013.88      ;0.0            ;0.0             ;0.0  ;0.0        
05/01/2020 ;01:40 AM ;24.5          ;18.0        ;67.0       ;WSW   ;0.0       ;0.0      ;1013.88      ;0.0            ;0.0             ;0.0  ;0.0        
05/01/2020 ;01:49 AM ;24.39         ;18.11       ;68.0       ;WSW   ;0.0       ;0.0      ;1013.88      ;0.0            ;0.0             ;0.0  ;0.0        
05/01/2020 ;01:54 AM ;24.44         ;18.0        ;67.0       ;West  ;0.0       ;0.0      ;1013.88      ;0.0            ;0.0             ;0.0  ;0.0        
05/01/2020 ;01:59 AM ;24.5          ;18.0        ;67.0       ;SW    ;0.0       ;0.0      ;1013.88      ;0.0            ;0.0             ;0.0  ;0.0        
05/01/2020 ;02:04 AM ;24.5          ;18.0        ;67.0       ;WSW   ;1.29      ;1.93     ;1014.22      ;0.0            ;0.0             ;0.0  ;0.0        
05/01/2020 ;02:09 AM ;24.61         ;17.94       ;67.0       ;WSW   ;1.13      ;1.93     ;1014.22      ;0.0            ;0.0             ;0.0  ;0.0        
05/01/2020 ;02:14 AM ;24.72         ;17.89       ;66.0       ;SW    ;2.57      ;3.38     ;1014.22      ;0.0            ;0.0             ;0.0  ;0.0        
05/01/2020 ;02:19 AM ;24.72         ;17.94       ;66.0       ;WSW   ;1.61      ;2.25     ;1014.22      ;0.0            ;0.0             ;0.0  ;0.0        
05/01/2020 ;02:24 AM ;24.83         ;18.06       ;66.0       ;WSW   ;1.45      ;2.09     ;1014.22      ;0.0            ;0.0             ;0.0  ;0.0        
05/01/2020 ;02:29 AM ;24.83         ;18.06       ;66.0       ;WSW   ;0.0       ;0.0      ;1014.22      ;0.0            ;0.0             ;0.0  ;0.0        
05/01/2020 ;02:34 AM ;24.83         ;18.06       ;66.0       ;West  ;0.0       ;0.0      ;1014.22      ;0.0            ;0.0             ;0.0  ;0.0        
05/01/2020 ;02:39 AM ;24.72         ;18.22       ;67.0       ;WSW   ;0.0       ;0.0      ;1014.22      ;0.0            ;0.0             ;0.0  ;0.0        
05/01/2020 ;02:44 AM ;24.72         ;18.22       ;67.0       ;WSW   ;0.0       ;0.0      ;1014.22      ;0.0            ;0.0             ;0.0  ;0.0        
05/01/2020 ;02:49 AM ;24.61         ;18.22       ;68.0       ;West  ;0.0       ;0.0      ;1013.88      ;0.0            ;0.0             ;0.0  ;0.0        
05/01/2020 ;02:54 AM ;24.5          ;18.22       ;68.0       ;WSW   ;0.0       ;0.0      ;1014.22      ;0.0            ;0.0             ;0.0  ;0.0        
05/01/2020 ;02:59 AM ;24.39         ;18.17       ;68.0       ;WSW   ;0.0       ;0.0      ;1014.22      ;0.0            ;0.0             ;0.0  ;0.0        
05/01/2020 ;03:04 AM ;24.33         ;18.33       ;69.0       ;SSW   ;0.16      ;0.32     ;1014.22      ;0.0            ;0.0             ;0.0  ;0.0        
05/01/2020 ;03:09 AM ;24.28         ;18.28       ;69.0       ;SW    ;0.0       ;0.32     ;1014.22      ;0.0            ;0.0             ;0.0  ;0.0        
05/01/2020 ;03:14 AM ;24.28         ;18.28       ;69.0       ;WSW   ;0.0       ;0.0      ;1014.22      ;0.0            ;0.0             ;0.0  ;0.0        
